Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LINK1,5.55111512312578E-17,1.38777878078145E-17,0.00913899464565848,0,0,0,0.0881112294736471,4.28576506071502E-05,0,-2.63572309757595E-22,4.11321029955712E-05,4.8136187875801E-23,7.86901550473029E-05,0,0,0,0,0,0,package://URDFROS/meshes/LINK1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFROS/meshes/LINK1.STL,,Part3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LINK2,-5.55111512312578E-17,-2.77555756156289E-17,-0.0154947643979058,0,0,0,0.0450033147626738,1.10484008979201E-05,6.35274710440725E-22,3.02297097284577E-22,1.10484008979201E-05,-5.41853137257625E-22,1.08340767902157E-05,0,0,0,0,0,0,package://URDFROS/meshes/LINK2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFROS/meshes/LINK2.STL,,LINK 2-1,Origin_JOINT1,Axis_JOINT1,JOINT1,continuous,0,0,0.049,0,0,0,LINK1,0,0,1,,,,,,,,,,,,
LINK3-1,5.9466429235655E-05,1.68887434644355E-05,0.0061407102790253,0,0,0,0.00238301971976767,1.9573602893199E-07,-2.02924677217103E-10,-1.75143091145477E-09,1.96392909144847E-07,-4.97414553714287E-10,3.02994731542616E-08,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-1.STL,,LINK 1-3,Origin_JOINT-21,Axis_JOINT-21,JOINT-21,continuous,0,0.0125,0,0,0,0,LINK2,0,0,1,,,,,,,,,,,,
LINK3-3,2.01072091755572E-05,-5.84567019340787E-05,0.00614071027902541,0,0,0,0.00238301971976767,1.9636885063274E-07,2.37493522381655E-10,-5.92206193408728E-10,1.95760087444097E-07,1.72169198764894E-09,3.02994731542616E-08,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-3.STL,,LINK 1-2,Origin_JOINT-22,Axis_JOINT-22,JOINT-22,continuous,0.010825,-0.00625,0,0,0,0,LINK2,0,0,1,,,,,,,,,,,,
LINK3-2,-6.06158776054744E-05,-1.21326519760823E-05,0.0061407102790253,0,0,0,0.00238301971976767,1.95708139854141E-07,-1.48596233353931E-10,1.78528496039945E-09,1.96420798222696E-07,3.57336096717783E-10,3.02994731542616E-08,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFROS/meshes/LINK3-2.STL,,LINK 1-1,Origin_JOINT-23,Axis_JOINT-23,JOINT-23,continuous,-0.010825,-0.00625,0,0,0,0,LINK2,0,0,1,,,,,,,,,,,,
